Package Name,Benign Domains,Benign IPs,Benign Traffic,Ad Domains,Ad IPs,Ad Traffic,Tracking Domains,Tracking IPs,Tracking Traffic,Suspected Benign IPs,Suspected Benign TrafficSuspected Ad Domains,Suspected Ad IPs,Suspected Ad Traffic,Suspected Tracking Domains,Suspected Tracking IPs,Suspected Tracking Traffic
io.voodoo.holeio.apk,"adserver.vidcoin.com,cmp.vidcoin.com,cdn.liftoff.io,impression-east.liftoff.io",7,64538,"ads.mopub.com,prod-a.applovin.com",3,29218,ads.mopub.com,2,21648,69,23691466,"voxel.write.mongostats.mopub.com,cpp-test.imp.mpx.mopub.com,status.mopub.com,data-service.mopub.com,track.tenjin.io,stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com,p-v2.presage.io,secure-ads.mopub.com,app2.mopub.com,voxel.read.mongostats.mopub.com,geo.yahoo.com,api-eu.gameanalytics.com,mpx-dashboard.mopub.com,app.mopub.com,analytics.mopub.com,adserver.mopub.com,api.gameanalytics.com,click-haproxy.supersonicads.com,p5-lj5aujgj7jl7w-r2pmxqvndsgx2im2-931517-i1-v6exp3-v4.metric.gstatic.com",12,3253963,"cds.s5x3j6q5.hwcdn.net,api.gameanalytics.com",12,101184
com.matchington.mansion.apk,,0,0,,0,0,,0,0,17,316735,"stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",1,3392,,1,0
com.playrix.township.apk,,0,0,,0,0,,0,0,19,509492,drippler.helpshift.com,1,3837,,1,0
com.colorup.game.apk,,0,0,,0,0,,0,0,36,2683027,"config.uca.cloud.unity3d.com,p-v2.presage.io,ads.mopub.com,mpx-dashboard.mopub.com,app.mopub.com,stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com,ecommerce.iap.unity3d.com,secure-ads.mopub.com,app2.mopub.com,voxel.read.mongostats.mopub.com,analytics.mopub.com,adserver.mopub.com,voxel.write.mongostats.mopub.com,cpp-test.imp.mpx.mopub.com,status.mopub.com,data-service.mopub.com",8,1476815,"cds.s5x3j6q5.hwcdn.net,analytics.twitter.com,scribe.twitter.com",8,730851
com.ohbibi.fps.apk,,0,0,,0,0,,0,0,29,10098469,"stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com,ecommerce.iap.unity3d.com,192.168.ss.xxxmyself.com,m.sancdn.net,counter.tldw.me,logger.snackly.co,192.168.cdn-a2.contentabc.com,cds.g8j8b9g6.hwcdn.net,cdn-highwinds.unityads.unity3d.com,cdn.mbp91.com,mdn1.phluantmobile.net,viamichelin.ss.xxxmyself.com,cdn.bttrack.com,errors.snackly.co,kannadamasti.onesignal.com",5,4383814,"cdn.onesignal.com,gate.hockeyapp.net",5,22240
io.voodoo.paper2.apk,"adserver.vidcoin.com,cmp.vidcoin.com,cdn.liftoff.io,impression-east.liftoff.io",7,65215,"ads.mopub.com,assets.applovin.com,prod-a.applovin.com",4,27390,ads.mopub.com,2,24108,100,23462265,"ads.mopub.com,mpx-dashboard.mopub.com,app.mopub.com,stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com,analytics.mopub.com,adserver.mopub.com,secure-ads.mopub.com,app2.mopub.com,voxel.read.mongostats.mopub.com,p-v2.presage.io,ad.turn.com,bookrags.crwdcntrl.net,bebo.crwdcntrl.net,barrio305.crwdcntrl.net,buzznet.crwdcntrl.net,ad.crwdcntrl.net,voxel.write.mongostats.mopub.com,cpp-test.imp.mpx.mopub.com,status.mopub.com,data-service.mopub.com,api-eu.gameanalytics.com,api-us.gameanalytics.com,click-haproxy.supersonicads.com,api.gameanalytics.com,track.brmngr.com,u.acuityplatform.com,cb6-9.tlnk.io,g7j-l.tlnk.io,170130.measurementapi.com,www.hastrk3.com,cheerz.tlnk.io,iyq-i.tlnk.io,210949.measurementapi.com,184843.measurementapi.com,lyls.tlnk.io,cvw-4.tlnk.io,epo-g.tlnk.io,715k.tlnk.io,bkk-o.tlnk.io,bl6-x.tlnk.io,cn5-n.tlnk.io,189333.measurementapi.com,fao-f.tlnk.io,2478.tlnk.io,65x3.tlnk.io,171570.measurementapi.com,we2-e.tlnk.io,171564.tlnk.io,0tht.tlnk.io,180034.measurementapi.com,200585.measurementapi.com,aki-k.tlnk.io,165542.measurementapi.com,102284.measurementapi.com,eev-a.tlnk.io,336483.measurementapi.com,338020.measurementapi.com,186289.measurementapi.com",16,2792400,"cds.s5x3j6q5.hwcdn.net,cdnjs.cloudflare.com,fontawesome-cdn.fonticons.netdna-cdn.com,cds.j3z9t3p6.hwcdn.net,api.gameanalytics.com",16,410949
com.h8games.helixjump.apk,cmp.vidcoin.com,1,5411,"insight.adsrvr.org,tpc.googlesyndication.com,ads.mopub.com,use-tor.adsrvr.org,choices.trustarc.com",5,6266,ads.mopub.com,1,1452,46,4186990,"voxel.write.mongostats.mopub.com,cpp-test.imp.mpx.mopub.com,status.mopub.com,data-service.mopub.com,stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com,pl-v2.presage.io,api.gameanalytics.com,use-tor.adsrvr.org,ads.mopub.com,mpx-dashboard.mopub.com,app.mopub.com,secure-ads.mopub.com,app2.mopub.com,voxel.read.mongostats.mopub.com",7,1899306,"cds.s5x3j6q5.hwcdn.net,api.gameanalytics.com",7,103711
com.halfbrick.fruitninjafree.apk,,0,0,,0,0,,0,0,34,5595226,"api.otherlevels.com,an-retargeting.awsotherlevels.com,cdn.springserve.com,pod.xpress.com,promo.badoink.com,pod.manplay.com,analyticsnew.overwolf.com,pod.xxxconnect.com,cdn.bttrack.com,errors.snackly.co,viamichelin.cdn-a2.contentabc.com,cdn.badoink.com,c2.campartner.com,static.ifa.camads.net,cdn.nsimg.net,counter.tldw.me",3,2867209,cds.s5x3j6q5.hwcdn.net,3,295
com.candywriter.bitlife.apk,,0,0,,0,0,,0,0,16,7390527,"stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com",1,179493,,1,0
com.playgendary.tanks.apk,,0,0,,0,0,,0,0,30,4922294,"stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com,track.tenjin.io",2,229934,cds.s5x3j6q5.hwcdn.net,2,90836
io.voodoo.crowdcity.apk,"cmp.vidcoin.com,cdn.liftoff.io,impression-east.liftoff.io,ipv6.adrta.com,us01.rayjump.com,stage-a.applovin.com,build-cdn.liftoff.io",10,137007,"pdn.applovin.com,assets.applovin.com,prod-a.applovin.com,cdn.adrta.com,ads.mopub.com,setting.rayjump.com,net.rayjump.com,cdn-adn.rayjump.com,tpc.googlesyndication.com",14,90361,"adrta.com,ads.mopub.com",3,35115,89,33941336,"secure-ads.mopub.com,app2.mopub.com,voxel.read.mongostats.mopub.com,stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com,mpx-dashboard.mopub.com,app.mopub.com,ad.turn.com,bookrags.crwdcntrl.net,bebo.crwdcntrl.net,barrio305.crwdcntrl.net,buzznet.crwdcntrl.net,ad.crwdcntrl.net,analytics.mopub.com,adserver.mopub.com,ads.twitter.com,ads-bidder-api.twitter.com,voxel.write.mongostats.mopub.com,cpp-test.imp.mpx.mopub.com,status.mopub.com,data-service.mopub.com,click-haproxy.supersonicads.com,setting.rayjump.com,recruitsshd.demdex.net,trowepriceassociatesinc.demdex.net,analytics.rayjump.com,track.tenjin.io,net.rayjump.com",15,3833279,"cds.s5x3j6q5.hwcdn.net,cdnjs.cloudflare.com,fontawesome-cdn.fonticons.netdna-cdn.com,api.gameanalytics.com",15,194701
com.magjg.roundhit.apk,,0,0,,0,0,,0,0,4,3901970,,0,0,,0,0
com.sausageflip.game.apk,,0,0,,0,0,,0,0,54,53979966,"stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com,supersonic.ironbeast.io,sdk.ironbeast.io,lb.ironbeast.io,track.tenjin.io",3,535227,"cds.s5x3j6q5.hwcdn.net,api.gameanalytics.com",3,29687
com.parking.game.apk,cdn.liftoff.io,1,530,"ads.mopub.com,assets.applovin.com",2,1231,ads.mopub.com,1,984,60,36544647,"ecommerce.iap.unity3d.com,secure-ads.mopub.com,app2.mopub.com,voxel.read.mongostats.mopub.com,stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com,static.crakbanner.com,img.revcontent.com,adk2cdn.cpmrocket.com,cdn.o333o.com,ads.servebom.com,cdn.adsrvmedia.net,ckstatic.com,creative.speednetwork6.com,media.salemwebnetwork.com,dl.inmobi.com,serve.revcontent.com,servedby.o2.co.uk,cdn.mediaessence.net,cdn.waframedia5.com,ads.crakmedia.com,cdn.advertserve.com,analytics.mopub.com,adserver.mopub.com,mpx-dashboard.mopub.com,app.mopub.com,cdn.springserve.com,pod.xpress.com,promo.badoink.com,pod.manplay.com,analyticsnew.overwolf.com,pod.xxxconnect.com,cdn.bttrack.com,errors.snackly.co,viamichelin.cdn-a2.contentabc.com,cdn.badoink.com,c2.campartner.com,static.ifa.camads.net,cdn.nsimg.net,counter.tldw.me,voxel.write.mongostats.mopub.com,cpp-test.imp.mpx.mopub.com,status.mopub.com,data-service.mopub.com,impact.applifier.com,httpkafka.unityads.unity3d.com,api-eu.gameanalytics.com,api-us.gameanalytics.com",12,7578723,"cds.s5x3j6q5.hwcdn.net,app.adjust.com,api.gameanalytics.com",12,94891
com.playgendary.kickthebuddy.apk,a2g5h7v7.ssl.hwcdn.net,1,116947,,0,0,,0,0,30,11783734,ads.tapdaq.com,1,6450,"map2.ssl.hwcdn.net,cds.s5x3j6q5.hwcdn.net",1,170482406
com.playgendary.tom.apk,,0,0,,0,0,,0,0,21,8510948,"stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com,ads.tapdaq.com,track.tenjin.io",3,344657,,3,0
com.snow.drift.apk,,0,0,,0,0,,0,0,44,16624667,"ecommerce.iap.unity3d.com,stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com,cdn.revcontent.com,cdn.2xbpub.com,publishers.revcontent.com,cdn.dlyads.com,cdn.iasrv.com,cdn.trkclk.net,cdn.adk2.com,srv.gotagy.com,servedby.flashtalking.com,ads.crakmedia.com,labs-cdn.revcontent.com,cdn.ad-maven.com,static.hoptopboy.com,carrefour.adform.net,media.salemwebnetwork.com,cds.i3t2g3k8.hwcdn.net,cdn.adsrvmedia.net,creatives.adbetclickin.pink,api-us.gameanalytics.com,voxel.write.mongostats.mopub.com,cpp-test.imp.mpx.mopub.com,status.mopub.com,data-service.mopub.com,supersonic.ironbeast.io,sdk.ironbeast.io,lb.ironbeast.io,api-eu.gameanalytics.com,secure-ads.mopub.com,app2.mopub.com,voxel.read.mongostats.mopub.com,cdn.springserve.com,pod.xpress.com,promo.badoink.com,pod.manplay.com,analyticsnew.overwolf.com,pod.xxxconnect.com,cdn.bttrack.com,errors.snackly.co,viamichelin.cdn-a2.contentabc.com,cdn.badoink.com,c2.campartner.com,static.ifa.camads.net,cdn.nsimg.net,counter.tldw.me,impact.applifier.com,httpkafka.unityads.unity3d.com,192.168.ss.xxxmyself.com,m.sancdn.net,logger.snackly.co,192.168.cdn-a2.contentabc.com,cds.g8j8b9g6.hwcdn.net,cdn-highwinds.unityads.unity3d.com,cdn.mbp91.com,mdn1.phluantmobile.net,viamichelin.ss.xxxmyself.com,analytics.mopub.com,adserver.mopub.com,api.gameanalytics.com,click-haproxy.supersonicads.com,mpx-dashboard.mopub.com,app.mopub.com",16,12038966,cds.s5x3j6q5.hwcdn.net,16,915
com.circleball.hoppingball.apk,,0,0,,0,0,,0,0,16,76314,"stats.unity3d.com,api.uca.cloud.unity3d.com,cdp.cloud.unity3d.com,config.uca.cloud.unity3d.com,plbslog.umeng.com,sec.umeng.com,u-time.umeng.com,static.umeng.com,pad.umeng.com,dip.umeng.com,www.umeng.com,mobile.umeng.com,i.umeng.com,iplua.o.xoxknct.com",4,191040,cds.s5x3j6q5.hwcdn.net,4,361
com.kiloo.subwaysurf.apk,hoodrunner.kiloo.com,1,1945,,0,0,,0,0,7,23118,"config.safedk.com,form-cdn.pardot.com,asset.pagefair.net",1,193,,1,0
com.playrix.homescapes.apk,,0,0,,0,0,,0,0,28,24220912,"p2.chartboost.com,p.chartboost.com,a.chartboost.com,v.chartboost.com,t.chartboost.com,a2.chartboost.com,192.168.ss.xxxmyself.com,m.sancdn.net,counter.tldw.me,logger.snackly.co,192.168.cdn-a2.contentabc.com,cds.g8j8b9g6.hwcdn.net,cdn-highwinds.unityads.unity3d.com,cdn.mbp91.com,mdn1.phluantmobile.net,viamichelin.ss.xxxmyself.com,cdn.bttrack.com,errors.snackly.co,drippler.helpshift.com",3,1383814,cds.s5x3j6q5.hwcdn.net,3,91113
